N;trait_mean;trait_var;age_MY;tsID;age_MY_min;age_MY_max
4;0.0495771242889347;1.8404730959316e-06;1,829;1314;1.826;1.832
1;0.0501489572989075;0;1,8505;1314;1.826;1.875
4;0.0622879596547314;2.85006934205305e-05;1,966;1314;1.915;2.017
9;0.0584800923302588;7.81764435147204e-06;2,1895;1314;2.088;2.291
1;0.065541211519364;0;2,4645;1314;2.452;2.477
69;0.0452511108849336;2.00032627987421e-05;0;1315;0;0
1;0.0460143730006802;0;0,399;1315;0.374;0.424
8;0.0476340745158849;2.04495184221755e-05;0,5055;1315;0.478;0.533
33;0.0491147735562626;2.20319158947485e-05;0,6485;1315;0.621;0.676
32;0.0501018017901433;2.42900147910417e-05;0,9265;1315;0.917;0.936
7;0.0505615750882118;2.43471906756721e-05;1,109;1315;1.104;1.114
2;0.0444163963598197;1.01871106427851e-05;1,729;1315;1.715;1.743
4;0.0424007071047104;2.20307261931081e-06;1,829;1315;1.826;1.832
1;0.0466732869910625;0;1,8505;1315;1.826;1.875
4;0.054696367750575;2.91534612252978e-05;1,966;1315;1.915;2.017
9;0.0498420432965401;1.69952052711247e-05;2,1895;1315;2.088;2.291
1;0.053624627606753;0;2,4645;1315;2.452;2.477
69;11.6550614330011;0.0182005103149265;0;1316;0;0
1;12.0703720632265;0;0,399;1316;0.374;0.424
8;11.7839104708303;0.0205341566572589;0,5055;1316;0.478;0.533
34;11.7889190511375;0.0202535543151312;0,6485;1316;0.621;0.676
32;11.8923397977746;0.035714382302647;0,9265;1316;0.917;0.936
7;12.0282944430937;0.016353878610021;1,109;1316;1.104;1.114
3;11.8819508573054;0.0177544798741994;1,729;1316;1.715;1.743
4;11.8203262288423;0.00207526598055747;1,829;1316;1.826;1.832
1;11.7161669127139;0;1,8505;1316;1.826;1.875
6;11.7958736725288;0.01358174290359;1,966;1316;1.915;2.017
9;11.8147353721348;0.00943909629935808;2,1895;1316;2.088;2.291
1;11.9615993657696;0;2,4645;1316;2.452;2.477
69;0.462644779343703;0.0017436135491978;0;1317;0;0
1;0.534703682545499;0;0,399;1317;0.374;0.424
8;0.484205394628391;0.00202609026777133;0,5055;1317;0.478;0.533
34;0.483453153398128;0.00167477314672668;0,6485;1317;0.621;0.676
32;0.499583118295612;0.00193628673836414;0,9265;1317;0.917;0.936
7;0.531077662603773;0.00128059704393136;1,109;1317;1.104;1.114
3;0.498996310388077;0.00287212188511596;1,729;1317;1.715;1.743
4;0.473848760529865;0.000197429624437313;1,829;1317;1.826;1.832
1;0.457960779298868;0;1,8505;1317;1.826;1.875
6;0.487433290886555;0.0013765698162878;1,966;1317;1.915;2.017
9;0.492679117253219;0.000461011803679598;2,1895;1317;2.088;2.291
1;0.533410839531081;0;2,4645;1317;2.452;2.477
69;0.345434470482842;0.000482613408460443;0;1318;0;0
1;0.431977347578743;0;0,399;1318;0.374;0.424
8;0.37778103818965;0.000718097556446907;0,5055;1318;0.478;0.533
34;0.375272962133276;0.000729135087920784;0,6485;1318;0.621;0.676
32;0.400360608082296;0.00144194745174677;0,9265;1318;0.917;0.936
7;0.425064502866179;0.00072387133168897;1,109;1318;1.104;1.114
3;0.391541201279012;0.000398151228147784;1,729;1318;1.715;1.743
4;0.385215424824759;0.000484321735224454;1,829;1318;1.826;1.832
1;0.354836298195347;0;1,8505;1318;1.826;1.875
6;0.368059084548603;0.00046498917129261;1,966;1318;1.915;2.017
9;0.380263951270319;0.000274578777601183;2,1895;1318;2.088;2.291
1;0.395889972981592;0;2,4645;1318;2.452;2.477
69;8.67497238785689;0.0251510761179176;0;1319;0;0
1;9.02520323007585;0;0,399;1319;0.374;0.424
8;8.68291813061025;0.0426944206058828;0,5055;1319;0.478;0.533
34;8.61667001151917;0.0371823095487552;0,6485;1319;0.621;0.676
32;8.63822275548648;0.0406428177342029;0,9265;1319;0.917;0.936
7;8.96230367205665;0.127850666399713;1,109;1319;1.104;1.114
3;8.61126565795322;0.0151477469302181;1,729;1319;1.715;1.743
4;8.58384209687724;0.00368723529208399;1,829;1319;1.826;1.832
1;9.00463134673208;0;1,8505;1319;1.826;1.875
6;8.98698897737012;0.0585525133338055;1,966;1319;1.915;2.017
9;8.78550706357328;0.00915302985483576;2,1895;1319;2.088;2.291
1;8.7861357654161;0;2,4645;1319;2.452;2.477
69;0.102790326724641;8.45327459023155e-05;0;1320;0;0
1;0.129017675526684;0;0,399;1320;0.374;0.424
8;0.101969333595915;0.000128640189235332;0,5055;1320;0.478;0.533
34;0.0982228264613233;8.85083788942353e-05;0,6485;1320;0.621;0.676
32;0.0986806045331741;0.000155920995659303;0,9265;1320;0.917;0.936
7;0.118062451895472;0.000807576874033974;1,109;1320;1.104;1.114
3;0.0954176979832399;6.79407366074208e-07;1,729;1320;1.715;1.743
4;0.0901013127014576;2.53743457216075e-05;1,829;1320;1.826;1.832
1;0.129933388017732;0;1,8505;1320;1.826;1.875
6;0.11961935312938;0.000373699921073661;1,966;1320;1.915;2.017
9;0.104096624966735;3.48519094059943e-05;2,1895;1320;2.088;2.291
1;0.107075483475909;0;2,4645;1320;2.452;2.477
69;0.0749867395172825;3.43221710334981e-05;0;1321;0;0
1;0.0852450757137837;0;0,399;1321;0.374;0.424
8;0.0756959402790025;6.13460468988529e-05;0,5055;1321;0.478;0.533
34;0.0737572577494197;6.73332615513542e-05;0,6485;1321;0.621;0.676
32;0.0750733153517158;5.05184578065243e-05;0,9265;1321;0.917;0.936
7;0.0887400789285348;0.00018188118044379;1,109;1321;1.104;1.114
3;0.0744829830615982;4.75300832919651e-05;1,729;1321;1.715;1.743
4;0.0759947581567871;4.53158907073894e-06;1,829;1321;1.826;1.832
1;0.086261873803996;0;1,8505;1321;1.826;1.875
6;0.0884717405621903;8.19363519641763e-05;1,966;1321;1.915;2.017
9;0.0817838133493145;2.79365959080655e-05;2,1895;1321;2.088;2.291
1;0.0789154173611755;0;2,4645;1321;2.452;2.477
160;8.94329062812292;0.0375235880323244;0;1322;0;0
31;9.08617417695605;0.0430616122823223;0,0045;1322;0.003;0.006
1;8.99617381415644;0;0,451;1322;0.424;0.478
2;9.05329040469643;0.00203578764029142;0,5055;1322;0.478;0.533
16;8.81173810407943;0.0538799205104129;0,548;1322;0.533;0.563
2;8.52612979298887;0.00804086310896557;2,1895;1322;2.088;2.291
160;0.11988636421271;6.72670637294898e-05;0;1323;0;0
31;0.125070145961561;8.29670109573115e-05;0,0045;1323;0.003;0.006
1;0.130437661715338;0;0,451;1323;0.424;0.478
2;0.12655531890456;6.19766701563666e-05;0,5055;1323;0.478;0.533
16;0.118067443959151;0.0001088445094833;0,548;1323;0.533;0.563
2;0.103809713875743;2.30008433089746e-05;2,1895;1323;2.088;2.291
