order,family,genus,species,binomial,adult_body_mass_g,adult_head_body_len_mm,gestation_days,litter_size,litters_per_year,max_longevity_months,weaning_age_days,neonate_body_mass_g,sexual_maturity_age_days,diet_breadth,habitat_breadth,trophic_level,home_range_km2,pop_density_per_km2,geog_range_km2
Rodentia,Echimyidae,Dactylomys,dactylinus,Dactylomys dactylinus,649.98,285.02,,,,,,,,2,1,2,0.001669342,,2786239.5
Rodentia,Echimyidae,Dactylomys,peruanus,Dactylomys peruanus,382.0,,,,,,,,,,,,,,74745.24
Diprotodontia,Petauridae,Dactylopsila,palpator,Dactylopsila palpator,369.87,234.89,,1.02,,,,,,7,2,2,,,210628.5
Diprotodontia,Petauridae,Dactylopsila,tatei,Dactylopsila tatei,252.0,,,,,,,,,3,1,2,,,231.26
Diprotodontia,Petauridae,Dactylopsila,trivirgata,Dactylopsila trivirgata,413.41,254.55,,1.54,,115.0,,,,7,1,2,0.09,4.0,583261.22
Artiodactyla,Cervidae,Dama,dama,Dama dama,57224.61,,230.0,1.0,,300.0,177.63,4698.44,543.28,2,1,1,0.71,21.99,3081759.24
Artiodactyla,Bovidae,Damaliscus,korrigum,Damaliscus korrigum,127194.87,,,,,150.96,,,1094.37,,,,,3.29,3278531.91
Artiodactyla,Bovidae,Damaliscus,lunatus,Damaliscus lunatus,136000.33,1700.0,238.0,0.98,,216.0,,11000.0,665.3,1,1,1,,2.74,1266510.5
Artiodactyla,Bovidae,Damaliscus,pygargus,Damaliscus pygargus,77784.55,,240.54,1.41,,260.04,121.66,6873.81,620.76,,,,,24.56,370656.19
Dasyuromorphia,Dasyuridae,Dasycercus,cristicauda,Dasycercus cristicauda,99.54,175.0,38.99,6.5,1.0,84.0,105.85,,364.12,2,2,3,,,913420.52
Dasyuromorphia,Dasyuridae,Dasykaluta,rosamondae,Dasykaluta rosamondae,32.17,,49.69,6.64,1.0,36.0,113.0,,324.38,,1,,,,374318.6
Rodentia,Muridae,Dasymys,incomtus,Dasymys incomtus,127.75,,,2.67,,,30.0,,72.41,,,,,1718.4,
Cingulata,Dasypodidae,Dasypus,septemcinctus,Dasypus septemcinctus,1526.64,,120.0,5.99,,,,,,3,2,2,,,5434573.16
Dasyuromorphia,Dasyuridae,Dasyuroides,byrnei,Dasyuroides byrnei,109.47,158.49,32.49,5.14,2.0,84.0,118.11,0.02,299.95,2,1,3,,,108698.99
Dasyuromorphia,Dasyuridae,Dasyurus,albopunctatus,Dasyurus albopunctatus,603.48,268.92,19.29,6.19,,36.0,97.65,,,5,1,2,,,314620.59
