population,generation,mean_fitness,sd_fitness,se_fitness,n
Ara + 3,3500,1.3130795005,0.08167209682686416,0.057750893499999956,2
Ara + 3,4000,1.3587409975,0.13256926958429152,0.09374062950000005,2
Ara + 3,4500,1.4088588975,0.06902205974902696,0.04880596650000001,2
Ara + 3,5000,1.4275950394999999,0.1264160136464842,0.0893896205000001,2
Ara + 3,6000,1.362472774,0.03995211720724132,0.028250413000000085,2
Ara + 3,7000,1.5096971345,0.0006706094646754833,0.0004741924999999147,2
Ara + 3,8000,1.588461383,0.07116560658003955,0.05032168299999995,2
Ara + 3,9000,1.540501496,0.05877818613230793,0.041562454000000026,2
Ara + 3,10000,1.5245796125000002,0.04618256728524395,0.0326560065,2
Ara + 3,11000,1.6752428445,0.17538108359235643,0.12401315349999997,2
Ara + 3,12000,1.4365809845,0.21087433958671362,0.1491106755,2
Ara + 3,13000,1.5023066589999998,0.002996338115220367,0.00211873100000004,2
Ara + 3,14000,1.58922927,0.15882382546458965,0.112305404,2
Ara + 3,15000,1.6962716974999998,0.18494171881728796,0.13077354350000003,2
Ara + 3,16000,1.5826105799999999,0.1496488929471649,0.105817747,2
Ara + 3,17000,1.639004453,0.07619157450250304,0.053875578999999944,2
Ara + 3,18000,1.562395794,0.19554875399154303,0.13827385000000003,2
Ara + 3,19000,1.7279190015,0.3548453927693339,0.25091358349999987,2
Ara + 3,20000,1.5760364065,0.08000515198718652,0.056572185499999976,2
Ara + 3,22000,1.666318232,0.22288304283482993,0.157602111,2
Ara + 3,24000,1.6261739885,0.19270422675249593,0.13626246549999996,2
Ara + 3,26000,1.7569748395000002,0.5824339300054718,0.4118429815000001,2
Ara + 3,28000,1.7109537005,0.026016034620868354,0.0183961145,2
Ara + 3,30000,1.7901757150000002,0.22898602630892212,0.161917572,2
Ara + 3,32000,1.5495084835,0.23514067878262246,0.16626956850000008,2
Ara + 3,34000,1.7705011935,0.05429217979720084,0.03839036849999999,2
Ara + 3,36000,1.7385685204999999,0.3885992339642234,0.2747811535000001,2
Ara + 3,38000,1.805706899,0.05537997802013573,0.03915955799999992,2
Ara + 3,40000,1.889231393,0.008423586307580064,0.005956375000000014,2
Ara + 3,42000,1.8363715815,0.16714762981295614,0.11819122250000001,2
Ara + 3,44000,1.948393356,0.34947926052317907,0.247119155,2
Ara + 3,46000,1.7010860179999998,0.15526150918221263,0.10978646599999996,2
Ara + 3,48000,1.5956874120000002,0.20526113998857135,0.145141544,2
Ara + 3,50000,1.8039602585,0.2124827218427735,0.15024797350000008,2
Ara + 4,0,0.97792821125,0.021874098475082697,0.010937049237541348,4
Ara + 4,500,1.058140489,0.03427722466376074,0.024237657999999995,2
Ara + 4,1000,1.2140581165,0.02048167672172158,0.014482732499999984,2
Ara + 4,1500,1.2417774905,0.02095700945638432,0.014818843499999955,2
Ara + 4,2000,1.132774185,0.055494014544951356,0.039240194,2
Ara + 4,2500,1.3399136975000001,0.0005648772018984498,0.0003994285000000763,2
Ara + 4,3000,1.3334017955,0.02918824009206478,0.020639202500000065,2
Ara + 4,3500,1.359966665,0.026292630044931133,0.018591696999999963,2
Ara + 4,4000,1.3393310805,0.018797911225933068,0.013292130499999999,2
Ara + 4,4500,1.5516925129999999,0.21567109248209457,0.1525024920000001,2
Ara + 4,5000,1.4319023,0.07364550218655255,0.05207523400000002,2
Ara + 4,6000,1.3218336935,0.1308167351256054,0.0925014005,2
Ara + 4,7000,1.515000223,0.04063867122272584,0.028735880000000043,2
Ara + 4,8000,1.415191614,0.04860636740369848,0.03436989199999996,2
Ara + 4,9000,1.4883655894999999,0.1770835916604872,0.12521700850000006,2
Ara + 4,10000,1.5438295225,0.06582862693225942,0.046547868500000034,2
Ara + 4,11000,1.4628710685000001,0.09964024440802573,0.07045629249999996,2
Ara + 4,12000,1.4153977515,0.013101511322596094,0.00926416750000003,2
Ara + 4,13000,1.4169186885,0.008493362897640725,0.006005714499999981,2
Ara + 4,14000,1.4621952005,0.1031008942916173,0.0729033415,2
Ara + 4,15000,1.5989384690000001,0.2000656446295319,0.141467774,2
